Nom;Artiste 1;Artiste 2;Nombre de vues (en millions);Date publication;Origine;Sexe de l’artiste 1;Âge de l’artiste;Genre;Label;Parent;Langue;Durée
Hasta el Amanecer;Nicky Jam;;1245,8;14/01/2016;Porto Rico;Masculin;36;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:17
The Lazy Song;Bruno Mars;;1238,2;15/04/2011;USA;Masculin;32;Reggae;Atlantic Records;Warner Music Group;Anglais;03:15
All of Me;John Legend;;1229,8;02/10/2013;USA;Masculin;39;R&B;Columbia Records;Sony Music Entertainment;Anglais;04:29
Rolling in the Deep;Adele;;1212,5;30/11/2010;UK;Féminin;29;Soul;XL Recordings;Indépendant;Anglais;03:48
Side to Side;Ariana Grande;Nicki Minaj;1187,8;29/08/2016;USA;Féminin;24;Pop;Republic Records;Universal Music Group;Anglais;03:46
Burn;Ellie Goulding;;1185,1;07/07/2013;UK;Féminin;31;Electropop;Polydor;Universal Music Group;Anglais;03:51
Summer;Calvin Harris;;1177;06/04/2014;UK;Masculin;33;House;Deconstruction Records;Sony Music Entertainment;Anglais;03:44
How Deep is your love;Calvin Harris;Disciples;1172,7;06/08/2015;UK;Masculin;33;House;Deconstruction Records;Sony Music Entertainment;Anglais;03:32
Reggaeton Lento;CNCO;;1169,2;07/10/2016;USA;Masculin;21;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:42
Picky;Joey Montana;;1159,7;29/06/2015;Panama;Masculin;35;Reggaeton;Capitol Latin;Universal Music Group;Espagnol;03:01
Hey Mama;David Guetta;Nicki Minaj;1158,6;29/05/2015;France;Masculin;50;Trap;Atlantic Records;Warner Music Group;Anglais;03:12
Bad Blood;Taylor Swift;Kendrick Lamar;1149,6;17/05/2015;USA;Féminin;28;Pop;Big Machine Records;Indépendant;Anglais;03:19
The Hills;The Weeknd;;1148,3;27/05/2015;Canada;Masculin;27;Trap;Republic Records;Universal Music Group;Anglais;04:04
Felices Los 4;Maluma;;1147,2;21/04/2017;Colombie;Masculin;23;Reggaeton;Sony Music Latin;Sony Music Entertainment;Espagnol;03:50
On the Floor;Jennifer Lopez;Pitbull;1145,1;03/03/2011;USA;Féminin;48;Dance;Island Records;Universal Music Group;Anglais;03:51
Stressed Out;Twenty One Pilots;;1133,3;27/04/2015;USA;Masculin;29;Rap;Fueled by Ramen;Warner Music Group;Anglais;03:22
Thrift Shop;Macklemore;Ryan Lewis;1132,3;29/08/2012;USA;Masculin;34;Hip-Hop;Macklemore LLC;Warner Music Group;Anglais;03:55
Gentleman;Psy;;1128,3;13/04/2013;Corée du Sud;Masculin;39;K-pop;YG Entertainment;YG Entertainment;Coréen;03:14
Diamonds;Rihanna;;1100,2;08/11/2012;Barbade;Féminin;29;R&B;Def Jam Recordings;Universal Music Group;Anglais;03:45
Shaky Shaky;Daddy Yankee;;1095;14/07/2016;Porto Rico;Masculin;40;Reggaeton;Universal Music Latin Entertainment;Universal Music Group;Espagnol;03:53
Animals;Martin Garrix;;1087,3;17/06/2013;Pays-Bas;Masculin;21;House;Spinnin’ Records;Indépendant;Anglais;05:04
